region_id,year,cohort_id,population_persons,source_observation_class,observation_class,validation_eligible
north_america,2022,child,67130076,OFFICIAL_ESTIMATE,DERIVED,true
north_america,2022,young_adult,128388629,OFFICIAL_ESTIMATE,DERIVED,true
north_america,2022,mature_adult,119804256,OFFICIAL_ESTIMATE,DERIVED,true
north_america,2022,older_adult,65158821,OFFICIAL_ESTIMATE,DERIVED,true
latin_america_caribbean,2022,child,152003632,OFFICIAL_ESTIMATE,DERIVED,true
latin_america_caribbean,2022,young_adult,258853212,OFFICIAL_ESTIMATE,DERIVED,true
latin_america_caribbean,2022,mature_adult,182895377,OFFICIAL_ESTIMATE,DERIVED,true
latin_america_caribbean,2022,older_adult,60614615,OFFICIAL_ESTIMATE,DERIVED,true
western_northern_europe,2022,child,69366952,OFFICIAL_ESTIMATE,DERIVED,true
western_northern_europe,2022,young_adult,134608602,OFFICIAL_ESTIMATE,DERIVED,true
western_northern_europe,2022,mature_adult,157297783,OFFICIAL_ESTIMATE,DERIVED,true
western_northern_europe,2022,older_adult,96640305,OFFICIAL_ESTIMATE,DERIVED,true
eastern_europe_central_asia,2022,child,72856652,OFFICIAL_ESTIMATE,DERIVED,true
eastern_europe_central_asia,2022,young_adult,121413995,OFFICIAL_ESTIMATE,DERIVED,true
eastern_europe_central_asia,2022,mature_adult,119201154,OFFICIAL_ESTIMATE,DERIVED,true
eastern_europe_central_asia,2022,older_adult,54920940,OFFICIAL_ESTIMATE,DERIVED,true
middle_east_north_africa,2022,child,171260672,OFFICIAL_ESTIMATE,DERIVED,true
middle_east_north_africa,2022,young_adult,228063518,OFFICIAL_ESTIMATE,DERIVED,true
middle_east_north_africa,2022,mature_adult,131453936,OFFICIAL_ESTIMATE,DERIVED,true
middle_east_north_africa,2022,older_adult,31630462,OFFICIAL_ESTIMATE,DERIVED,true
sub_saharan_africa,2022,child,488885020,OFFICIAL_ESTIMATE,DERIVED,true
sub_saharan_africa,2022,young_adult,473705677,OFFICIAL_ESTIMATE,DERIVED,true
sub_saharan_africa,2022,mature_adult,182549418,OFFICIAL_ESTIMATE,DERIVED,true
sub_saharan_africa,2022,older_adult,37023663,OFFICIAL_ESTIMATE,DERIVED,true
south_asia,2022,child,555495941,OFFICIAL_ESTIMATE,DERIVED,true
south_asia,2022,young_adult,853484603,OFFICIAL_ESTIMATE,DERIVED,true
south_asia,2022,mature_adult,485288978,OFFICIAL_ESTIMATE,DERIVED,true
south_asia,2022,older_adult,128197777,OFFICIAL_ESTIMATE,DERIVED,true
east_asia,2022,child,274642474,OFFICIAL_ESTIMATE,DERIVED,true
east_asia,2022,young_adult,545588632,OFFICIAL_ESTIMATE,DERIVED,true
east_asia,2022,mature_adult,591860205,OFFICIAL_ESTIMATE,DERIVED,true
east_asia,2022,older_adult,251173604,OFFICIAL_ESTIMATE,DERIVED,true
southeast_asia,2022,child,168870741,OFFICIAL_ESTIMATE,DERIVED,true
southeast_asia,2022,young_adult,270373057,OFFICIAL_ESTIMATE,DERIVED,true
southeast_asia,2022,mature_adult,194228709,OFFICIAL_ESTIMATE,DERIVED,true
southeast_asia,2022,older_adult,51425914,OFFICIAL_ESTIMATE,DERIVED,true
oceania,2022,child,10308020,OFFICIAL_ESTIMATE,DERIVED,true
oceania,2022,young_adult,16297626,OFFICIAL_ESTIMATE,DERIVED,true
oceania,2022,mature_adult,12572071,OFFICIAL_ESTIMATE,DERIVED,true
oceania,2022,older_adult,5871669,OFFICIAL_ESTIMATE,DERIVED,true
